product_position,promotion,seasonal,sales_volume,name,price,terms,section,season,material,origin,price_range,revenue
Front of Store,No,No,933,Textured Alpaca And Wool Blend Tie Dye Knit Sweater Sky Blue,53.95,Jackets,Woman,Winter,Wool,Bangladesh,High,50335.350000000006
End-cap,No,Yes,869,Flared Fit Cargo Jeans Grey,35.99,Jackets,Woman,Spring,Denim,China,Medium,31275.31
Front of Store,Yes,Yes,1332,Pleated Fleece Overshirt Burgundy,51.99,Jackets,Woman,Autumn,Polyester,Vietnam,High,69250.68000000001
Front of Store,No,Yes,911,Regular Overshirt With Contrasting Topstitching Burgundy,39.99,Sweaters,Woman,Winter,Polyester,Turkey,Medium,36430.89
End-cap,No,No,726,Oversized Suede High-Tops White,39.95,Jackets,Man,Spring,Cotton,China,Medium,29003.7
Aisle,No,Yes,974,Knit Straight Suit Jacket Taupe,31.95,Sweaters,Woman,Winter,Acrylic,China,Medium,31119.3
End-cap,No,No,1068,Basic 100% Wool Sweater Ecru,32.99,Jackets,Woman,Winter,Wool,Bangladesh,Medium,35233.32
End-cap,No,Yes,916,Overshirt Brown,29.0,Jackets,Woman,Autumn,Wool,Morocco,Medium,26564.0
Aisle,Yes,Yes,1297,Textured Faux Leather Puffer Jacket Ecru,21.99,T-shirts,Woman,Autumn,Wool,India,Low,28521.03
Front of Store,No,Yes,882,Utility Plaid Tie Dye Overshirt Khaki,29.99,Jackets,Woman,Spring,Linen,Morocco,Medium,26451.18
Aisle,No,Yes,853,Relaxed Overshirt Olive,35.99,Sweaters,Woman,Autumn,Acrylic,Spain,Medium,30699.47
Aisle,No,Yes,901,Satin Basic Heavyweight T-Shirt Beige,29.95,Sweaters,Woman,Spring,Cotton,India,Medium,26984.95
Aisle,Yes,Yes,1490,Double-Breasted Cotton Jacket Charcoal,28.95,Jackets,Woman,Autumn,Polyester,Turkey,Medium,43135.5
End-cap,No,Yes,897,Belted Basic Medium Weight T-Shirt Brown,48.95,Sweaters,Woman,Summer,Linen,India,Medium,43908.15
Aisle,Yes,No,1375,Striped Knit Sweater Grey,46.99,Jackets,Man,Winter,Wool Blend,China,Medium,64611.25
Aisle,No,Yes,1209,Structured Text T-Shirt Brown,22.95,Jackets,Woman,Summer,Linen,Portugal,Low,27746.55
End-cap,No,No,1041,Linen Oversized Knit Sweater Ecru,21.99,Jackets,Woman,Summer,Linen,Pakistan,Low,22891.59
Front of Store,No,No,815,Relaxed Adherent Stripes Sneakers Stone,15.0,Jackets,Woman,Autumn,Wool Blend,China,Low,12225.0
Front of Store,Yes,Yes,1395,Double-Breasted Cropped Washed T-Shirt White,40.99,Shoes,Woman,Spring,Linen,Bangladesh,Medium,57181.05
Aisle,Yes,Yes,1532,Pleated Faux Leather Bomber Jacket Burgundy,15.99,Sweaters,Woman,Winter,Wool,Spain,Low,24496.68
Aisle,Yes,Yes,1405,Denim Bomber Jacket Navy,25.99,T-shirts,Woman,Autumn,Acrylic,Portugal,Medium,36515.95
Aisle,Yes,Yes,1649,Embroidered Viscose Blend Knit T-Shirt Black,17.99,T-shirts,Man,Summer,Linen,Turkey,Low,29665.51
End-cap,No,Yes,817,Belted Basic Puffer Jacket Khaki,59.95,T-shirts,Woman,Autumn,Acrylic,Morocco,High,48979.15
Front of Store,No,No,1100,Double-Breasted Cropped Washed T-Shirt Sky Blue,50.99,Jackets,Woman,Summer,Linen Blend,China,High,56089.0
Aisle,Yes,No,1271,Utility Paint Print Overshirt Ivory,71.95,T-shirts,Woman,Autumn,Viscose,Brazil,High,91448.45
End-cap,No,No,1042,Ribbed Basic 100% Wool Sweater Navy,21.99,T-shirts,Woman,Winter,Wool,China,Low,22913.579999999998
Front of Store,No,No,774,Satin Knit Open Back Pearly Sweater Charcoal,127.99,Jackets,Woman,Winter,Wool,China,Premium,99064.26
Front of Store,No,No,1102,Linen Paint Print Overshirt White,28.99,T-shirts,Woman,Summer,Cotton,Brazil,Medium,31946.98
Aisle,No,Yes,1032,Knit Retro High Top Sneakers Navy,42.99,Jackets,Woman,Winter,Wool Blend,Bangladesh,Medium,44365.68
End-cap,Yes,Yes,1407,Structured Ripped Denim Jacket Navy,50.99,Jackets,Woman,Autumn,Denim,Bangladesh,High,71742.93000000001
End-cap,No,Yes,745,Metal Bead Knit Sweater,39.0,Jackets,Man,Autumn,Acrylic,Turkey,Medium,29055.0
Front of Store,No,No,705,Slim Acid Wash Denim Jacket Khaki,75.99,Jackets,Man,Winter,Wool,Bangladesh,Premium,53572.95
Aisle,No,No,942,Embroidered Waxed Effect Plaid Jacket,32.99,T-shirts,Woman,Winter,Polyester,Brazil,Medium,31076.58
End-cap,No,No,826,Textured Contrast Sole Leather Sneakers Beige,19.99,Jackets,Man,Autumn,Cotton,Portugal,Low,16511.739999999998
End-cap,No,No,829,Double-Breasted Contrasting Collar Jacket Sky Blue,39.95,Jackets,Man,Autumn,Cotton,China,Medium,33118.55
Aisle,No,Yes,906,Stretch Woven Leather Slides Khaki,22.99,Jackets,Woman,Autumn,Polyester,Brazil,Low,20828.94
End-cap,No,No,752,Ribbed Lightweight Bomber Jacket Burgundy,59.99,T-shirts,Woman,Spring,Cotton,Vietnam,High,45112.48
Aisle,No,No,799,Houndstooth Suit Jacket Ecru,29.99,Shoes,Man,Autumn,Polyester,Spain,Medium,23962.01
Aisle,Yes,Yes,1494,Slim Double Faced Jacket Beige,20.95,Jackets,Woman,Spring,Linen,Bangladesh,Low,31299.3
Front of Store,No,No,1039,Cropped Baggy Fit Jeans Limited Edition Ecru,22.99,T-shirts,Woman,Winter,Cotton,Bangladesh,Low,23886.609999999997
Front of Store,Yes,Yes,1696,Basic Heavyweight T-Shirt Grey,55.0,Sweaters,Woman,Summer,Linen,Cambodia,High,93280.0
Aisle,Yes,Yes,1206,Regular Asymmetrical Wool And Silk Blend Sweater Black,59.99,Jackets,Woman,Spring,Linen,Bangladesh,High,72347.94
Aisle,No,Yes,812,Textured Reversible Plaid Overshirt,39.95,Jackets,Woman,Spring,Cotton,Spain,Medium,32439.4
Front of Store,Yes,Yes,1435,Textured Ribbed Knit T-Shirt Burgundy,26.95,Jeans,Man,Summer,Cotton,China,Medium,38673.25
End-cap,Yes,Yes,1392,Cropped Oversized Cropped Jacket Limited Edition Black,21.99,Jackets,Woman,Autumn,Wool,China,Low,30610.079999999998
Aisle,No,Yes,1095,Double Strap Suede Sandals Burgundy,24.95,Jackets,Woman,Summer,Cotton,Cambodia,Low,27320.25
End-cap,Yes,Yes,1329,Ribbed Adherent Stripes Sneakers Stone,55.99,Jackets,Woman,Autumn,Cotton,Spain,High,74410.71
Aisle,Yes,Yes,1454,Double Strap Suede Sandals Grey,27.95,Jeans,Woman,Summer,Cotton,Pakistan,Medium,40639.299999999996
End-cap,Yes,Yes,1357,Oversized Technical Jacket With Pockets Sky Blue,24.99,Jackets,Woman,Autumn,Polyester,Bangladesh,Low,33911.43
Front of Store,No,No,963,Regular Retro Running Sneakers Black,25.95,Sweaters,Woman,Spring,Cotton,Portugal,Medium,24989.85
End-cap,No,No,840,Slim Faux Shearling Plaid Jacket Sand,39.95,T-shirts,Man,Spring,Viscose,Portugal,Medium,33558.0
End-cap,No,No,969,Belted Woven Leather Slides Ecru,29.99,Jackets,Man,Autumn,Viscose,China,Medium,29060.309999999998
Aisle,Yes,Yes,1699,Satin Suit Jacket Ivory,38.0,Jackets,Woman,Summer,Silk,Turkey,Medium,64562.0
End-cap,Yes,No,1570,Fleece Overshirt Taupe,19.99,Jackets,Woman,Autumn,Viscose,India,Low,31384.3
Aisle,No,Yes,1032,Knit Metal Bead Knit Sweater Taupe,28.99,Jackets,Woman,Winter,Wool,China,Medium,29917.679999999997
Aisle,Yes,No,1316,Stretch Retro High Top Sneakers Beige,32.99,Jackets,Man,Summer,Linen,Spain,Medium,43414.840000000004
End-cap,No,No,787,Oversized Wool Blend Felt Texture Jacket White,77.99,Jackets,Man,Winter,Wool,Morocco,Premium,61378.13
Front of Store,No,No,864,Faux Suede Bomber Jacket Black,49.99,Jackets,Man,Autumn,Cotton,Portugal,Medium,43191.36
End-cap,No,No,885,Relaxed Boxy Fit Denim Jacket Burgundy,35.99,Shoes,Woman,Spring,Denim,Bangladesh,Medium,31851.15
Aisle,Yes,Yes,1475,Textured Pocket Overshirt,86.99,T-shirts,Woman,Summer,Linen,India,Premium,128310.24999999999
Aisle,Yes,Yes,1285,Multi-Pieced Retro Sneakers Grey,16.99,Jackets,Man,Spring,Cotton,India,Low,21832.149999999998
Front of Store,No,Yes,729,Cropped Cable Knit Metallic Sweater White,89.95,Jackets,Woman,Spring,Cotton,India,Premium,65573.55
Front of Store,Yes,No,1623,Textured 100% Wool Suit Jacket Ecru,24.95,Sweaters,Woman,Autumn,Wool,Cambodia,Low,40493.85
Front of Store,Yes,Yes,1244,Oversized Faux Suede Jacket Grey,48.99,Jackets,Man,Spring,Cotton,Bangladesh,Medium,60943.560000000005
End-cap,No,No,945,Slim Basic Knit Sweater Sky Blue,74.95,Jackets,Woman,Summer,Wool Blend,Bangladesh,High,70827.75
Front of Store,No,No,999,Wool Blend Textured Jacket Navy,42.0,Jackets,Woman,Winter,Wool,Turkey,Medium,41958.0
Front of Store,No,Yes,801,Braided Color Block Sweater Stone,35.99,Shoes,Woman,Autumn,Wool,Bangladesh,Medium,28827.99
Front of Store,Yes,No,1700,Regular Color Block Puffer Jacket Ecru,18.99,Sweaters,Man,Winter,Acrylic,Vietnam,Low,32282.999999999996
End-cap,Yes,Yes,1414,High-Waist Pocket Denim Overshirt Black,62.99,Jackets,Woman,Autumn,Wool Blend,India,High,89067.86
Front of Store,No,Yes,932,Utility Textured Jacket Ecru,24.99,Jackets,Woman,Winter,Wool Blend,Argentina,Low,23290.68
Front of Store,Yes,Yes,1647,Cropped Padded Corduroy Overshirt Olive,17.99,Jackets,Woman,Winter,Denim,India,Low,29629.53
Aisle,No,Yes,920,Quilted Washed Technical Jacket Grey,19.99,Jackets,Woman,Autumn,Cotton,Cambodia,Low,18390.8
Aisle,No,No,931,Knit Flared Fit Cargo Jeans Stone,22.99,Jackets,Man,Winter,Wool,Turkey,Low,21403.69
Aisle,No,Yes,969,Pleated Faux Suede Bomber Jacket,19.99,Sweaters,Woman,Spring,Cotton,India,Low,19370.309999999998
Aisle,No,Yes,888,Satin Padded Bomber Jacket,17.99,Jackets,Woman,Winter,Wool Blend,India,Low,15975.119999999999
Aisle,Yes,Yes,1297,Double-Breasted 100% Linen Overshirt Charcoal,24.99,Sweaters,Woman,Spring,Cotton,Portugal,Low,32412.03
End-cap,Yes,Yes,1355,Strap Sandals Ecru,83.95,Jackets,Woman,Summer,Cotton,China,Premium,113752.25
End-cap,No,No,896,Stretch Leather Jacket Burgundy,40.0,Shoes,Man,Summer,Cotton,Bangladesh,Medium,35840.0
Aisle,No,Yes,880,Embroidered Contrast Jacquard Jacket Grey,22.99,Jackets,Woman,Autumn,Wool Blend,India,Low,20231.199999999997
Aisle,No,Yes,829,Stretch Padded Denim Jacket Taupe,59.99,Jackets,Woman,Autumn,Denim,Portugal,High,49731.71
Front of Store,Yes,No,1515,Quilted Faux Fur Jewel Sweater Ecru,19.0,Shoes,Woman,Winter,Acrylic,China,Low,28785.0
Aisle,No,No,927,Pleated Houndstooth Suit Jacket White,33.99,Sweaters,Woman,Winter,Wool Blend,Bangladesh,Medium,31508.730000000003
Aisle,No,No,957,High-Waist Knit Pearl Sweater Ivory,28.95,Shoes,Man,Summer,Linen,India,Medium,27705.149999999998
Front of Store,No,No,948,Textured Basic 100% Wool Sweater Navy,19.99,Jackets,Woman,Autumn,Wool,Bangladesh,Low,18950.519999999997
End-cap,Yes,No,1440,Satin Cropped Textured Jacket Charcoal,19.95,Jackets,Woman,Autumn,Satin,Bangladesh,Low,28728.0
Aisle,No,Yes,881,Linen Ripped Denim Jacket White,19.95,Shoes,Woman,Spring,Linen,India,Low,17575.95
Aisle,Yes,No,1134,Slim Suede High-Tops Black,57.99,Jackets,Man,Autumn,Cotton,Turkey,High,65760.66
Aisle,No,Yes,917,Cropped Denim Bomber Jacket Beige,77.99,Jackets,Woman,Winter,Wool,Turkey,Premium,71516.83
Aisle,No,No,958,Quilted Contrast Interior Sweater Ivory,64.99,T-shirts,Woman,Winter,Wool,China,High,62260.42
Aisle,No,Yes,811,Quilted Multi-Pieced Retro Sneakers Navy,15.95,Jackets,Man,Autumn,Wool Blend,Cambodia,Low,12935.449999999999
End-cap,No,Yes,848,Textured Bomber Jacket Beige,39.95,Shoes,Man,Spring,Viscose,Bangladesh,Medium,33877.600000000006
End-cap,No,No,894,Slim Basic Puffer Jacket Khaki,19.95,Sweaters,Woman,Autumn,Polyester,Pakistan,Low,17835.3
Aisle,No,Yes,822,Cropped Denim Bomber Jacket Sky Blue,19.99,Shoes,Man,Spring,Cotton,Bangladesh,Low,16431.78
End-cap,Yes,Yes,1444,Slim Retro Running Sneakers Khaki,65.99,T-shirts,Woman,Autumn,Acrylic,Turkey,High,95289.56
Front of Store,No,Yes,785,Utility Multipiece Sneakers Grey,19.95,Jackets,Man,Spring,Polyester,Portugal,Low,15660.75
Aisle,No,Yes,754,Ribbed Knit T-Shirt Charcoal,69.95,Jackets,Man,Spring,Linen,India,High,52742.3
Aisle,No,No,774,Linen Contrasting Collar Jacket White,19.99,Jeans,Man,Spring,Linen,Bangladesh,Low,15472.259999999998
Front of Store,Yes,Yes,1105,Regular Quilted Structured Overshirt Khaki,105.99,Jackets,Woman,Autumn,Polyester,Bangladesh,Premium,117118.95
Aisle,No,No,816,Knit Structured Text T-Shirt Burgundy,35.99,Jackets,Woman,Spring,Linen,India,Medium,29367.84
Aisle,No,Yes,707,Stretch 100% Linen Overshirt White,119.99,Jackets,Woman,Spring,Linen Blend,Turkey,Premium,84832.93
Aisle,Yes,No,1218,Embroidered Forest Jacket,28.95,Jackets,Man,Autumn,Wool,Bangladesh,Medium,35261.1
End-cap,Yes,Yes,1480,Cropped Washed T-Shirt Brown,28.95,Jackets,Woman,Summer,Linen,Bangladesh,Medium,42846.0
Aisle,No,No,884,Satin Striped Jacquard T-Shirt Navy,28.99,Sweaters,Man,Summer,Linen,Portugal,Medium,25627.16
Aisle,No,Yes,975,Knit Faux Suede Patch Jacket Black,25.95,Jackets,Woman,Autumn,Wool,China,Medium,25301.25
Front of Store,Yes,No,1380,High-Waist Contrast Sole Leather Sneakers White,24.99,Jackets,Woman,Autumn,Wool,Turkey,Low,34486.2
Aisle,No,No,1012,Quilted 100% Linen Overshirt Beige,31.99,T-shirts,Woman,Summer,Cotton,Portugal,Medium,32373.879999999997
End-cap,No,Yes,979,Denim Shirt Taupe,50.95,Sweaters,Woman,Winter,Denim,Cambodia,High,49880.05
End-cap,Yes,Yes,1507,Printed Denim Overshirt White,47.99,Jackets,Woman,Winter,Wool Blend,Bangladesh,Medium,72320.93000000001
End-cap,No,No,926,Ribbed Knit T-Shirt Khaki,24.99,Jackets,Woman,Summer,Cotton,India,Low,23140.739999999998
Front of Store,No,No,815,Embroidered Patch Jacket Ivory,15.99,Jackets,Woman,Autumn,Cotton,Morocco,Low,13031.85
Aisle,Yes,Yes,1278,High-Waist Viscose Blend Knit T-Shirt,30.99,Shoes,Man,Spring,Linen,Turkey,Medium,39605.22
Front of Store,No,No,1135,Relaxed Faux Suede Patch Jacket Stone,38.99,Jackets,Woman,Winter,Wool,Brazil,Medium,44253.65
End-cap,No,Yes,867,Satin Soft Jewel Sweater Brown,59.99,Jeans,Woman,Autumn,Wool,Spain,High,52011.33
Front of Store,No,No,956,Embroidered Basic Puffer Jacket Burgundy,31.99,Jackets,Woman,Winter,Wool,Turkey,Medium,30582.44
Aisle,Yes,Yes,1488,Linen Hooded Knit Cardigan Ecru,22.95,Sweaters,Woman,Spring,Cotton,China,Low,34149.6
Front of Store,No,Yes,636,Structured Oversize Fit T-Shirt Olive,130.95,Jackets,Man,Summer,Linen Blend,Cambodia,Premium,83284.2
Front of Store,Yes,Yes,1378,Textured Faux Leather Boxy Fit Jacket Olive,18.99,Jackets,Woman,Autumn,Polyester,India,Low,26168.219999999998
End-cap,Yes,Yes,1266,Quilted Suede Strap Sandals Navy,19.99,T-shirts,Man,Spring,Linen Blend,India,Low,25307.339999999997
Aisle,No,Yes,902,Linen Basic Knit Sweater Taupe,33.99,Jackets,Woman,Summer,Cotton,China,Medium,30658.980000000003
Aisle,No,Yes,781,Regular Adherent Stripes Sneakers Olive,98.99,Jackets,Woman,Summer,Polyester,Pakistan,Premium,77311.19
Front of Store,Yes,Yes,1361,Fleece Overshirt Ivory,48.99,Jeans,Woman,Autumn,Polyester,Vietnam,Medium,66675.39
Aisle,No,Yes,800,Denim Bomber Jacket Ecru,19.99,Jeans,Woman,Spring,Denim,Cambodia,Low,15991.999999999998
Aisle,No,No,792,Embroidered Waxed Effect Plaid Jacket Grey,45.0,Sweaters,Woman,Autumn,Polyester,China,Medium,35640.0
Aisle,Yes,Yes,1676,Ribbed Oversized Knit Sweater Sky Blue,22.99,Sweaters,Woman,Autumn,Polyester,Spain,Low,38531.24
End-cap,Yes,Yes,1753,Baggy Fit Jeans Limited Edition Charcoal,14.0,Jackets,Woman,Winter,Denim,Turkey,Low,24542.0
Front of Store,No,Yes,851,Utility Asymmetric Cropped Knit Sweater Sand,63.99,Jackets,Man,Winter,Wool,Bangladesh,High,54455.490000000005
Aisle,No,Yes,1110,Cropped Hooded Technical Jacket Khaki,17.95,Jackets,Woman,Winter,Wool Blend,Turkey,Low,19924.5
Aisle,No,Yes,825,Relaxed Moc-Toe Suede Boots Khaki,19.99,Jackets,Man,Autumn,Polyester,Bangladesh,Low,16491.75
End-cap,Yes,Yes,1322,Knit Faux Suede Bomber Jacket,25.99,Shoes,Man,Autumn,Wool Blend,India,Medium,34358.78
Front of Store,No,No,961,Structured 100% Wool Suit Jacket White,38.0,T-shirts,Man,Winter,Wool Blend,India,Medium,36518.0
End-cap,Yes,Yes,1356,Textured Basic Heavyweight T-Shirt Sand,39.95,Jackets,Man,Summer,Linen,Cambodia,Medium,54172.200000000004
Aisle,No,Yes,841,Quilted Baggy Fit Jeans Sky Blue,15.0,Sweaters,Woman,Spring,Linen,China,Low,12615.0
Aisle,Yes,Yes,1452,Relaxed Textured Denim Jacket Limited Edition Stone,25.99,Jackets,Woman,Spring,Denim,Bangladesh,Medium,37737.479999999996
Front of Store,No,No,891,Quilted Hooded Technical Jacket Navy,22.99,Jackets,Woman,Spring,Cotton,Portugal,Low,20484.09
Front of Store,No,No,755,Quilted Zippered Jacket Taupe,59.95,T-shirts,Woman,Spring,Linen,Morocco,High,45262.25
End-cap,No,No,699,Stretch Baggy Fit Jeans Brown,89.0,Jeans,Man,Autumn,Denim,Portugal,Premium,62211.0
End-cap,No,Yes,748,Pleated Wool Blend Suit Jacket Charcoal,59.99,Jackets,Woman,Autumn,Wool Blend,Bangladesh,High,44872.520000000004
Front of Store,Yes,Yes,1317,Jewel Knit Sweater Sky Blue,24.0,Sweaters,Woman,Autumn,Acrylic,Portugal,Low,31608.0
Aisle,No,No,972,Structured Faux Fur Jewel Sweater Sky Blue,15.99,Sweaters,Man,Autumn,Wool Blend,India,Low,15542.28
Front of Store,Yes,Yes,1246,Mixed Collar Waxed Jacket Taupe,20.95,Jackets,Man,Autumn,Polyester,Brazil,Low,26103.7
Aisle,Yes,Yes,1429,Satin Fine Knit Crop Sweater White,54.99,Shoes,Man,Winter,Acrylic,Portugal,High,78580.71
Aisle,No,No,666,Pleated Bomber Jacket Brown,119.95,T-shirts,Man,Autumn,Wool,Turkey,Premium,79886.7
Front of Store,No,No,867,Structured Textured Denim Jacket Limited Edition Sky Blue,22.95,Sweaters,Woman,Autumn,Denim,Vietnam,Low,19897.649999999998
End-cap,No,No,977,Regular Baggy Fit Jeans White,49.0,Jackets,Woman,Autumn,Acrylic,India,Medium,47873.0
End-cap,No,No,926,Double-Breasted Reversible Plaid Overshirt Sky Blue,19.95,Jackets,Woman,Autumn,Viscose,Morocco,Low,18473.7
Aisle,No,Yes,974,Metal Bead Knit Sweater Black,33.99,Sweaters,Woman,Winter,Wool Blend,Spain,Medium,33106.26
Aisle,No,Yes,821,Slim Leather Jacket Ivory,59.99,Sweaters,Woman,Autumn,Wool Blend,Portugal,High,49251.79
Front of Store,No,Yes,1113,Slim Raised Text T-Shirt Limited Edition Black,21.95,Sweaters,Woman,Summer,Linen,Brazil,Low,24430.35
End-cap,No,Yes,1117,Stretch Cable Knit Metallic Sweater Burgundy,33.99,Jackets,Woman,Winter,Acrylic,India,Medium,37966.83
Aisle,Yes,Yes,1297,Linen Abstract Print T-Shirt White,74.0,Jackets,Man,Summer,Linen,Bangladesh,High,95978.0
Front of Store,No,No,631,Double-Breasted Topstitch Sneakers,134.95,Sweaters,Man,Winter,Viscose,Spain,Premium,85153.45
Front of Store,Yes,Yes,1367,Wool Blend Jacket Olive,37.99,Sweaters,Woman,Autumn,Wool,China,Medium,51932.33
Aisle,Yes,No,1418,Ribbed Contrasting Patches Bomber Jacket Khaki,15.99,Jackets,Woman,Spring,Cotton,Turkey,Low,22673.82
End-cap,Yes,Yes,1326,Pleated Contrasting Patches Bomber Jacket Burgundy,12.95,Sweaters,Woman,Spring,Cotton,India,Low,17171.7
End-cap,No,No,985,Structured Pocket Overshirt Navy,44.0,Jackets,Woman,Winter,Wool Blend,India,Medium,43340.0
End-cap,No,No,804,Knit Pearl Sweater White,45.99,Jackets,Woman,Autumn,Wool,Spain,Medium,36975.96
Front of Store,No,No,905,Regular Fleece Overshirt Burgundy,15.99,Shoes,Man,Autumn,Polyester,Morocco,Low,14470.95
End-cap,No,Yes,959,Satin Adherent Stripes Sneakers,28.99,Jeans,Woman,Summer,Satin,Turkey,Medium,27801.41
Front of Store,No,No,995,Tailored Houndstooth Suit Jacket Ivory,55.99,Shoes,Woman,Winter,Wool,Cambodia,High,55710.05
End-cap,No,No,893,Satin High Collar Knit Sweater Ivory,24.99,Jackets,Man,Winter,Wool,India,Low,22316.07
End-cap,No,No,877,Waxed Effect Plaid Jacket Olive,59.99,Jackets,Woman,Autumn,Wool Blend,India,High,52611.23
Aisle,Yes,Yes,1246,Oversized Boucle Textured Vest Navy,35.95,Jackets,Woman,Autumn,Wool Blend,China,Medium,44793.700000000004
Front of Store,Yes,Yes,1217,Tailored Oversize Fit T-Shirt Taupe,84.99,Jackets,Man,Summer,Linen,Spain,Premium,103432.82999999999
Front of Store,Yes,Yes,1482,Regular Multipiece Sneakers,66.99,Jackets,Woman,Winter,Wool Blend,China,High,99279.18
End-cap,No,No,888,Linen Zipper Multipiece Sneakers Ecru,49.99,Sweaters,Woman,Summer,Linen,India,Medium,44391.12
End-cap,Yes,Yes,1503,Pleated Basic Foil Knit Sweater Ecru,16.99,Jackets,Woman,Autumn,Wool Blend,Portugal,Low,25535.969999999998
Front of Store,Yes,Yes,1281,Cropped Faux Leather Puffer Jacket Beige,52.99,Sweaters,Man,Winter,Wool,China,High,67880.19
Aisle,Yes,Yes,1493,Structured Chunky Sneakers Ecru,37.99,T-shirts,Woman,Summer,Linen,Turkey,Medium,56719.07
Aisle,Yes,No,1446,Belted Tuxedo Jacket,43.0,Jackets,Woman,Spring,Polyester,India,Medium,62178.0
End-cap,No,No,1044,Oversized Textured Denim Jacket Limited Edition Sand,43.99,Jackets,Woman,Winter,Denim,Cambodia,Medium,45925.560000000005
Aisle,No,No,895,Knit Cable Knit Metallic Sweater Charcoal,15.99,Jackets,Woman,Autumn,Wool Blend,India,Low,14311.050000000001
End-cap,Yes,No,1402,Double-Breasted Retro Running Sneakers Navy,13.99,Jackets,Woman,Autumn,Polyester,India,Low,19613.98
Front of Store,Yes,No,1419,Belted Cropped Textured Jacket Taupe,28.99,Jackets,Man,Autumn,Cotton,Spain,Medium,41136.81
Front of Store,No,No,1010,Ribbed Slim Fit Suit Jacket White,21.99,Jackets,Woman,Winter,Wool Blend,China,Low,22209.899999999998
Aisle,No,Yes,733,Relaxed Woven Leather Slides Taupe,79.99,Jackets,Woman,Autumn,Wool Blend,China,Premium,58632.67
Aisle,No,No,877,Cropped Retro High Top Sneakers Grey,39.99,Jackets,Man,Autumn,Cotton,Portugal,Medium,35071.23
Aisle,No,Yes,1084,Double-Breasted Wool Blend Jacket Khaki,44.99,Shoes,Woman,Summer,Linen,Vietnam,Medium,48769.16
End-cap,No,Yes,1163,Structured Embroidered Patch Jacket Taupe,22.99,Jackets,Woman,Summer,Linen Blend,Bangladesh,Low,26737.37
Aisle,Yes,No,1007,Relaxed Overshirt With Contrasting Topstitching Ecru,82.95,Jeans,Man,Spring,Linen,China,Premium,83530.65000000001
Aisle,No,No,665,Satin Braided Color Block Sweater Sky Blue,69.95,Sweaters,Man,Autumn,Wool,Morocco,High,46516.75
End-cap,Yes,Yes,1552,Pleated Suit Jacket In 100% Linen Beige,27.99,Shoes,Man,Summer,Linen Blend,Bangladesh,Medium,43440.479999999996
Front of Store,Yes,Yes,1532,Striped Crop Knit Sweater Charcoal,39.95,T-shirts,Woman,Autumn,Wool Blend,China,Medium,61203.4
End-cap,No,Yes,724,Reversible Plaid Overshirt Brown,29.99,Shoes,Man,Autumn,Viscose,China,Medium,21712.76
Aisle,No,Yes,862,Ribbed Flared Fit Cargo Jeans Navy,77.95,Jackets,Woman,Winter,Acrylic,India,Premium,67192.90000000001
End-cap,No,Yes,835,Oversized Fleece Overshirt Khaki,19.99,Jackets,Woman,Autumn,Denim,China,Low,16691.649999999998
End-cap,No,Yes,897,Cropped Baggy Fit Jeans Limited Edition Olive,31.95,Jackets,Man,Winter,Cotton,Bangladesh,Medium,28659.149999999998
End-cap,Yes,Yes,1711,Cable Knit Metallic Sweater Burgundy,21.95,Jackets,Woman,Winter,Polyester,Spain,Low,37556.45
Aisle,No,Yes,929,Stretch Stretch Pocket Overshirt Burgundy,29.95,T-shirts,Woman,Autumn,Cotton,Pakistan,Medium,27823.55
Aisle,No,Yes,657,Tailored Double Faced Jacket Charcoal,89.99,Sweaters,Man,Autumn,Polyester,India,Premium,59123.42999999999
Aisle,No,No,854,Stretch Embroidered Patch Jacket Sand,49.99,T-shirts,Woman,Autumn,Polyester,Bangladesh,Medium,42691.46
Front of Store,Yes,Yes,1380,Slim Denim Shirt Navy,30.95,Jackets,Woman,Autumn,Denim,Morocco,Medium,42711.0
End-cap,Yes,Yes,1507,Padded Denim Jacket Stone,41.99,T-shirts,Woman,Spring,Linen,India,Medium,63278.93
End-cap,No,No,844,Knit Sweater With Piping Burgundy,53.99,Jackets,Woman,Winter,Wool Blend,Bangladesh,High,45567.560000000005
End-cap,No,No,808,High-Waist Suede Laceless Sneakers Sand,49.99,Jeans,Woman,Autumn,Polyester,China,Medium,40391.92
Front of Store,Yes,No,1418,Ribbed Alpaca Blend Open Knit Sweater Olive,61.0,Sweaters,Woman,Autumn,Polyester,Turkey,High,86498.0
Aisle,Yes,Yes,1366,Cropped Zippered Wool Blend Overshirt White,17.99,Jackets,Woman,Autumn,Acrylic,Bangladesh,Low,24574.339999999997
Aisle,No,No,690,Utility Oversized Knit Sweater Burgundy,89.99,Jackets,Man,Autumn,Wool,Portugal,Premium,62093.1
End-cap,No,Yes,833,Utility Tuxedo Jacket,45.95,Sweaters,Woman,Autumn,Cotton,India,Medium,38276.350000000006
Aisle,Yes,Yes,1465,Structured Faux Suede Jacket Sky Blue,25.99,Sweaters,Woman,Autumn,Cotton,Cambodia,Medium,38075.35
Front of Store,No,No,867,Fleece Overshirt Beige,35.95,T-shirts,Woman,Autumn,Viscose,Morocco,Medium,31168.65
Front of Store,No,Yes,692,Relaxed Retro Sneakers White,45.99,Jackets,Man,Autumn,Viscose,China,Medium,31825.08
